07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
07/04/2026 - 22:40:19 (-3 TMZ) | 06:03:05:19 (Artemis Clock) | In work.
07/04/2026 - 22:41:20 (-3 TMZ) | 06:03:06:20 (Artemis Clock) | and they ensure crew health and safety by planning, facilitating, and monitoring all activities involving crew health, medical operations and relevant hardware.
07/04/2026 - 22:47:28 (-3 TMZ) | 06:03:12:28 (Artemis Clock) | CCUW
07/04/2026 - 22:47:30 (-3 TMZ) | 06:03:12:30 (Artemis Clock) | Copy.
07/04/2026 - 22:49:14 (-3 TMZ) | 06:03:14:14 (Artemis Clock) | Five
07/04/2026 - 22:49:34 (-3 TMZ) | 06:03:14:34 (Artemis Clock) | The fuse collapsed. I'm going to vent it, let it open back up, and then start the dump again in ten seconds.
07/04/2026 - 22:49:36 (-3 TMZ) | 06:03:14:36 (Artemis Clock) | We copy, Victor.
07/04/2026 - 22:49:40 (-3 TMZ) | 06:03:14:40 (Artemis Clock) | This is open.
07/04/2026 - 22:51:05 (-3 TMZ) | 06:03:16:05 (Artemis Clock) | Houston Integrity starting the second CCU dump in five, four...
07/04/2026 - 22:51:27 (-3 TMZ) | 06:03:16:27 (Artemis Clock) | Valve closed, venting, and dumping the rest of the second CCU in ten seconds.
07/04/2026 - 22:51:29 (-3 TMZ) | 06:03:16:29 (Artemis Clock) | We copy.
07/04/2026 - 22:51:49 (-3 TMZ) | 06:03:16:49 (Artemis Clock) | Houston Integrity.
07/04/2026 - 22:52:09 (-3 TMZ) | 06:03:17:09 (Artemis Clock) | Yeah, I would love to do that, if that's an option.
07/04/2026 - 22:52:30 (-3 TMZ) | 06:03:17:30 (Artemis Clock) | We start off at three twenty.
07/04/2026 - 22:52:36 (-3 TMZ) | 06:03:17:36 (Artemis Clock) | And to be perfectly clear, that's when we would want the dump to be complete.
07/04/2026 - 22:52:47 (-3 TMZ) | 06:03:17:47 (Artemis Clock) | Vector copies.
07/04/2026 - 22:53:56 (-3 TMZ) | 06:03:18:56 (Artemis Clock) | clearing the prop cautions that are on the board. And if you want to follow along, you can look on the PROP SMPRU display.
07/04/2026 - 22:54:32 (-3 TMZ) | 06:03:19:32 (Artemis Clock) | This is Artemis Mission Control in Houston, Texas. You're hearing some communication there from the crew onboard the Orion spacecraft, specifically NASA astronaut Victor Glover.
07/04/2026 - 22:54:37 (-3 TMZ) | 06:03:19:37 (Artemis Clock) | Copy.
07/04/2026 - 22:54:48 (-3 TMZ) | 06:03:19:48 (Artemis Clock) | As they are wrapping up a wastewater dump, these activities typically happen every day, and then they also...
07/04/2026 - 22:55:20 (-3 TMZ) | 06:03:20:20 (Artemis Clock) | back to a steady state, and they are putting those recovery steps in work after those cautions were received.
07/04/2026 - 22:55:51 (-3 TMZ) | 06:03:20:51 (Artemis Clock) | Copy. Perfect timing.
07/04/2026 - 22:58:17 (-3 TMZ) | 06:03:23:17 (Artemis Clock) | Thank you so much, Tess.
07/04/2026 - 22:59:10 (-3 TMZ) | 06:03:24:10 (Artemis Clock) | Dr. Suzanne Bell, principal investigator for Artemis II Archer study. Welcome, Suzanne. Thank you, Anna. And to start, can you tell us a little bit more about your role for this mission? Well, this is an exciting mission for us because it's the first time that we've had astronauts beyond low Earth orbit in 50 years, and so it's --
07/04/2026 - 22:59:32 (-3 TMZ) | 06:03:24:32 (Artemis Clock) | exposure to deep space, which for us is a number of space hazards that we don't get exposure to anywhere in the world or even in low Earth orbit on the International Space Station. So what we're doing is collecting data to understand behavioral health, how crew interacts with Orion systems,
07/04/2026 - 22:59:48 (-3 TMZ) | 06:03:24:48 (Artemis Clock) | the team works together, and then how sleep affects their performance. So you mentioned a little bit about the data you'll be collecting, but can you go into a little bit more about the devices and how you'll be collecting that data? We collect some pre-mission data, which is a really important understanding of the crew's baseline before they're exposed.
07/04/2026 - 23:00:14 (-3 TMZ) | 06:03:25:14 (Artemis Clock) | They're wearing it even on their day off today so we can track their activity as well as their sleep patterns and getting an understanding of the way they're interacting and using the cabin and some other things. We also collect a lot of data post-mission. Something I'm really excited about is our
07/04/2026 - 23:00:51 (-3 TMZ) | 06:03:25:51 (Artemis Clock) | on the moon someday. So, that's an important data collection for us. And then other data collection after post-mission also includes a really important debrief. So we get an understanding of where there might be performance sticking points or where the crew might need more supports with behavioral health or how to team together,
07/04/2026 - 23:01:08 (-3 TMZ) | 06:03:26:08 (Artemis Clock) | And so it's critical that we can get an understanding of the data, but then explore this data with the crew, and they really provide important insights. This crew is the only one that's gone into deep space since we've had more modern methods of looking at these things, and so getting their interpretation of what happened is really important content.
07/04/2026 - 23:01:50 (-3 TMZ) | 06:03:26:50 (Artemis Clock) | Being considerate of others and being tidy in the workspace, and how does the space work in terms of habitability and being able to be together in that small environment? And Orion's interesting. It's very small. The International Space Station is something like a six-bedroom apartment, and this is something like this.
07/04/2026 - 23:02:37 (-3 TMZ) | 06:03:27:37 (Artemis Clock) | sleep is very well managed, and they have private sleeping areas, and it's just, it's conducive to sleep. But Orion's quite different, and it's similar to hammocks or, you know, just spread across in that small environment in a different way.
07/04/2026 - 23:02:53 (-3 TMZ) | 06:03:27:53 (Artemis Clock) | And so it'll be really interesting to hear from the crew. Well, one is to look at their sleep patterns with our watches like this that we have with them, but second, to get their perspective on, you know, did it work out? And one of the reasons it's good to hear their perspective is because...
07/04/2026 - 23:03:31 (-3 TMZ) | 06:03:28:31 (Artemis Clock) | up or different ways of using Orion for longer missions. >> And you touched on how this is a test flight. Is there anything that you're hoping to learn that maybe you haven't learned yet from the seven days that we've done? You know, there's probably going to be a lot of data collection even after the mission. >> I'm really interested in this part of the mission. So we've done --
07/04/2026 - 23:03:56 (-3 TMZ) | 06:03:28:56 (Artemis Clock) | You know, now we're on the way home, when the high is kind of over, right? And so there's fixing toilets today and some other things that, you know, it's kind of coming off of that high. We know from our data that having positive affect,
07/04/2026 - 23:04:23 (-3 TMZ) | 06:03:29:23 (Artemis Clock) | So even this coming down, I'll be curious how they react to that. And so it's a still a critical part of the human test, even though we're done with a lot of the other testing, although testing is ongoing on pretty much everything, but. >> So you touched on it a little bit, but what role does team dynamics play in your study?
07/04/2026 - 23:04:55 (-3 TMZ) | 06:03:29:55 (Artemis Clock) | increasingly looking to things like Mars will become more Earth independent. So we have to push some of the decision-making to the crew, some of the problem-solving to the crew. And so looking at that dynamic both within the crew but then back with Mission Control so we can kind of create this Earth and
07/04/2026 - 23:05:37 (-3 TMZ) | 06:03:30:37 (Artemis Clock) | than you would expect or that you would even suggest from a performance perspective. Co-investigator on this project is Dr. Erin Flynn-Evans at the Sleep Lab out of Ames, Sleep and Fatigue Lab. And so she and her team actually tested some of these patterns ahead of time to make sure that performance could still be sustained.
07/04/2026 - 23:05:43 (-3 TMZ) | 06:03:30:43 (Artemis Clock) | under the extremes of not only being in...
07/04/2026 - 23:06:35 (-3 TMZ) | 06:03:31:35 (Artemis Clock) | Park position, so the crew is now able to resume their exercise, that exercise using the flywheel device onboard the Orion spacecraft. All right, Suzanne, so you were talking a little bit about sleep and the role that plays. Yes, so as we are doing things like testing systems, sometimes you don't get all.
07/04/2026 - 23:07:07 (-3 TMZ) | 06:03:32:07 (Artemis Clock) | to make sure that it would be doable for the crew because you're talking about a performance circumstance that's extreme. Okay, so now you're doing performance in a different type of gravity. You're in a small space. You're coordinating not only with your crew but back with Mission Control.
07/04/2026 - 23:07:33 (-3 TMZ) | 06:03:32:33 (Artemis Clock) | You know, you can still make errors, and errors in this type of situation and in space, you know, can have severe consequences. So we really want to make sure the crew is positioned for success. We can learn about where we can push them in a mission like this where we were able to push them a little bit on the sleep, but then where we'll have to pull back.
07/04/2026 - 23:07:59 (-3 TMZ) | 06:03:32:59 (Artemis Clock) | How to factor in to some of your study, like when they have busy, busy, busy days and then they have some time off, how does that play a role into some of that health and performance? Yeah, so on the International Space Station, some of what the Behavioral Health and Performance Operations Group is fatigue management. And so importantly, having that
07/04/2026 - 23:08:36 (-3 TMZ) | 06:03:33:36 (Artemis Clock) | that would suggest that when you take time off, it's important that you disengage. And so crew being able to have that opportunity to have that, you know, restorative time and whatever they need to do to disengage, like my understanding is today crew wanted a little more exercise time. That might not be the same for every crew, but this...
07/04/2026 - 23:09:01 (-3 TMZ) | 06:03:34:01 (Artemis Clock) | Super interesting. So there's lots of insights that are going to come from your study, and how will some of those insights help future missions to the moon and maybe even on to Mars one day? Well, this is critical data for us. So we have learned a lot from low Earth orbit. We know--
07/04/2026 - 23:09:18 (-3 TMZ) | 06:03:34:18 (Artemis Clock) | We know about cognitive performance change. We know that social support is an important buffer for stress. We know that teamwork is critical for performance outcomes. Now we're asking them to do it in a completely different environment. So we're going to use those baseline from our data in low Earth orbit and really build on it using what's called a base...
07/04/2026 - 23:09:44 (-3 TMZ) | 06:03:34:44 (Artemis Clock) | This research study really sets up the infrastructure for understanding human health and performance for Artemis missions. We'll learn from Artemis 2, then we'll roll that right in to do our best estimates for Artemis 3. We'll provide supports for the crew where we can in these areas, and then we will
07/04/2026 - 23:10:17 (-3 TMZ) | 06:03:35:17 (Artemis Clock) | You know, it's really important to know where can we push, where are we pushing too much, because ultimately that human system is as important as all the other systems that are being tested right now. Well, it's been a pleasure to have you. To wrap it up, can you tell us what you are most excited to learn regarding this mission? I'm really...
07/04/2026 - 23:10:42 (-3 TMZ) | 06:03:35:42 (Artemis Clock) | as much as possible on Earth, but when you get all of those things together, it's radiation, it's different forms of gravity, it's being in a small space, it's always surprising what kind of can be a sticking point. And so just that crew perspective on, we saw these changes...
07/04/2026 - 23:11:08 (-3 TMZ) | 06:03:36:08 (Artemis Clock) | Well thank you so much Dr. Suzanne Bell, principal investigator for the Artemis II Archer study. Thank you, Anna.
07/04/2026 - 23:20:49 (-3 TMZ) | 06:03:45:49 (Artemis Clock) | Artemis II mission here on flight day 7. We recently had Dr. Suzanne Bell join us to talk about the ARCHER study flying as part of Artemis II. And as a part of this study, NASA wants to know how Artemis II astronauts adapt to Orion's living space. The crew is wearing wristband devices that record their sleep and movement.
07/04/2026 - 23:21:15 (-3 TMZ) | 06:03:46:15 (Artemis Clock) | valuable insights into how crews adjust to life in deep space. Have you ever lived in a dorm room or gone on vacation in a small campervan? Now imagine you're with four people flying around the moon in a small space. That's what our Artemis II astronauts will do in the Orion spacecraft. For comparison, the International Space
07/04/2026 - 23:21:46 (-3 TMZ) | 06:03:46:46 (Artemis Clock) | To better understand how isolation, confinement, and other aspects of spaceflight affect human health and performance, Artemis II crewmembers will evaluate their activity levels, sleep patterns, movements, and interactions for a study called Artemis Research for Crew Health and Readiness, or ARCHER for short. Artemis II astronauts will wear wristband devices that record
