06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
06/04/2026 - 20:46:03 (-3 TMZ) | 05:01:11:03 (Artemis Clock) | They have the interior camera and they're taking images inside the cabin. They're also supporting the window team where, you know, you've heard some call-outs where looking out at the bright moon and then looking inside the dark cabin and looking at their LED screen is a lot. So the cabin team is also helping support a target.
06/04/2026 - 20:46:19 (-3 TMZ) | 05:01:11:19 (Artemis Clock) | and guide the window team into specific targets on their plan. They're also helping call out the science situational reps, so they're looking out at different window and listening in to what the crew who are really down and in on the science on the window team are doing.
06/04/2026 - 20:46:46 (-3 TMZ) | 05:01:11:46 (Artemis Clock) | But yeah, they're helping. They're doing a lot. And so making sure we have a plan that's flexible, but also make sure that we check off all those boxes was really important. So tell me a little bit more. You talked earlier about the analogs that the crew has done. What kind of analogs or environments were really useful for this?
06/04/2026 - 20:47:28 (-3 TMZ) | 05:01:12:28 (Artemis Clock) | A higher fidelity. So we would start with the classroom. So we would get, you know, we would just get into a classroom. We would put all the hardware on the table, and then we'd almost role play of like, you be Victor, you be Reed, you be Jeremy, and I'll be Christina, and like, let's just do the plan how we think we should do it, write that down.
06/04/2026 - 20:47:40 (-3 TMZ) | 05:01:12:40 (Artemis Clock) | And then just keep iterating on that, and then... Integrity Houston for a tag-up pre-forward link LOS in place of the flight director conference.
06/04/2026 - 20:47:51 (-3 TMZ) | 05:01:12:51 (Artemis Clock) | Okay, Jenny, we're ready.
06/04/2026 - 20:48:31 (-3 TMZ) | 05:01:13:31 (Artemis Clock) | For your next portion of the flyby, in particular the eclipse, we want to remind you that you can take off the eclipse glasses when the sun sets and you are simply looking at the corona.
06/04/2026 - 20:48:56 (-3 TMZ) | 05:01:13:56 (Artemis Clock) | measuring earthshine.
06/04/2026 - 20:48:59 (-3 TMZ) | 05:01:13:59 (Artemis Clock) | You will likely have to adjust the exposure. That's all I have for you. Let me know if you have anything for us.
06/04/2026 - 20:49:04 (-3 TMZ) | 05:01:14:04 (Artemis Clock) | Okay, Houston, we copy all. Thanks for those words, Jimmy.
06/04/2026 - 20:49:54 (-3 TMZ) | 05:01:14:54 (Artemis Clock) | You were telling me about the classroom and getting in there and pretending who's Victor, who's Reed. Tell me more about this. Yeah, it works pretty well. So you got to do the plan how you expect it to be. And then, you know, once we finalize that plan, we'll give it to a completely new group of people and have them practice it. And then they'll be like,
06/04/2026 - 20:50:35 (-3 TMZ) | 05:01:15:35 (Artemis Clock) | before we send it to space. So this is the first time we've had to do this because we're a brand new console, and it just sparks so many neurons of like how are we going to do this for service missions and integrate this in so many different ways. So excited to have kicked off this process, but there's so much more to come. Fascinating. And I think it was really well thought out.
06/04/2026 - 20:51:02 (-3 TMZ) | 05:01:16:02 (Artemis Clock) | Different perspectives and different insights from each crew member, maybe even about the same target, but something that one person sees could be completely different than something another person notices. So we also know that Artemis II has traveled, they are now on their way home, but they traveled farther from the moon than the Apollo missions did.
06/04/2026 - 20:51:54 (-3 TMZ) | 05:01:16:54 (Artemis Clock) | They orbit the moon and then also just they're different, the different things they're able to observe. So again, let me, let me talk a little bit about scale because I think observations at different scales, you can, you can gain a lot of different information. So like, for example, if you were an astronaut on the surface looking at a rock and you just...
06/04/2026 - 20:52:20 (-3 TMZ) | 05:01:17:20 (Artemis Clock) | or from outcrop to orbit. So looking at a rock at this scale, you can describe its components, you can describe what it's made of and its colors and its minerals. And you're like, OK, and this rock came from this boulder, and it's this part of this boulder, and these are the different things that I'm observing around. It gives me--
06/04/2026 - 20:53:02 (-3 TMZ) | 05:01:18:02 (Artemis Clock) | of the orbit scan, like this ridge is a part of this larger crater. So all of those different steps give you different information. And so that's why observations at these different scales and these different perspectives are so important. So this zoomed out kind of far view is this full lunar disk view. It's the full lunar...
06/04/2026 - 20:53:34 (-3 TMZ) | 05:01:18:34 (Artemis Clock) | Very quickly to different parts of the surface. And the color particularly is very compelling because you can just be able to very quickly compare from, you know, three different regions. Is it in the same family? Is this actually a little bit different? You know, compare that to what they see in their orbital data.
06/04/2026 - 20:54:00 (-3 TMZ) | 05:01:19:00 (Artemis Clock) | We talked about this a little bit, just how exciting it was to hear the browns and greens and things like that. I cannot wait to see those pictures. So one last question, we are coming up on the last lunar flyby observation block, and this is when we are going into a solar eclipse. So can you tell me what you're interested in?
06/04/2026 - 20:54:25 (-3 TMZ) | 05:01:19:25 (Artemis Clock) | How to pick one. So I would say the thing that I'm most interested in seeing is some of their annotations that they're taking. So in this opportunity, it's a very dynamic type of experience in that we don't normally see this activity. And so being able to...
06/04/2026 - 20:54:51 (-3 TMZ) | 05:01:19:51 (Artemis Clock) | On their portable computing device is just such a unique thing that humans can give to missions. And also, particularly, being able to annotate what they're observing while they're talking about it is also unique to, you know, being able to have astronauts.
06/04/2026 - 20:55:17 (-3 TMZ) | 05:01:20:17 (Artemis Clock) | You know, they're going to be collecting samples. They're going to be deploying instruments. And so personally I'm really excited to see some of these annotations and to see how that develops over time because it's... You've heard a lot of descriptions, and I think, you know, when people are describing something that's unique and different...
06/04/2026 - 20:55:48 (-3 TMZ) | 05:01:20:48 (Artemis Clock) | I am just very excited about those annotations. There's been some famous annotations that the Apollo crew have made, particularly about solar coronas and the structures that have, and lofted dust, that have given a lot of, you know, debate within the scientific community of, they're observing this phenomenon.
06/04/2026 - 20:56:20 (-3 TMZ) | 05:01:21:20 (Artemis Clock) | I mean, I've been excited about the pictures and the audio, but now... Don't sleep on the annotations. I am very excited to see these little sketches that they're able to draw out. And we have pictures that they can just draw right on. It's like, this particular thing is different than what we've seen, so I'm excited about that. I'm excited too, Angela Garcia.
06/04/2026 - 20:56:41 (-3 TMZ) | 05:01:21:41 (Artemis Clock) | Excited to see where we go from here. Thank you so much.
06/04/2026 - 20:58:13 (-3 TMZ) | 05:01:23:13 (Artemis Clock) | Integrity, Houston, you have three minutes until we go into a forward link LOS. We will be back up with you in about an hour during the eclipse on Madrid.
06/04/2026 - 21:00:31 (-3 TMZ) | 05:01:25:31 (Artemis Clock) | We're live in Artemis Mission Control at Johnson Space Center in Houston, Texas. This is a live view from the Orion spacecraft with our Artemis II crew inside. That's Reid Wiseman, Victor Glover, Christina Koch, and Jeremy Hansen. We are still live for our lunar flyby.
06/04/2026 - 21:00:56 (-3 TMZ) | 05:01:25:56 (Artemis Clock) | This is the first time anyone has ever seen a solar eclipse from the moon, so it's going to be a unique vantage point for our crew. But ahead of heading into that solar eclipse, we need to charge the batteries on the Orion spacecraft. Therefore, we have positioned the solar arrays into the sunlight to allow time for those batteries to charge.
06/04/2026 - 21:01:22 (-3 TMZ) | 05:01:26:22 (Artemis Clock) | What that means is, essentially, we cannot send calls or commands to the crew right now from the ground, however, we clearly get all of their data and communications.
06/04/2026 - 21:01:42 (-3 TMZ) | 05:01:26:42 (Artemis Clock) | Earth shrinks, now two hundred fifty-two thousand five hundred twenty-three miles away.
06/04/2026 - 21:01:49 (-3 TMZ) | 05:01:26:49 (Artemis Clock) | Our closest approach to the moon today was approximately 4,067 statute miles in altitude. Our maximum distance from the Earth is suspected to be 252,756 statute miles. Both of those moments came while Orion was flying.
06/04/2026 - 21:02:11 (-3 TMZ) | 05:01:27:11 (Artemis Clock) | Today, beating the Apollo 13 record of distance from Earth.
06/04/2026 - 21:02:32 (-3 TMZ) | 05:01:27:32 (Artemis Clock) | Velocity, now traveling nine hundred thirty miles per hour.
06/04/2026 - 21:03:10 (-3 TMZ) | 05:01:28:10 (Artemis Clock) | Crew with some GoPros inside the cabin, taking videos and pictures, and with other cameras as well. National Geographic plans to leverage its portfolio of media assets, including magazines, social and digital content, and television programming for engagement opportunities.
06/04/2026 - 21:03:31 (-3 TMZ) | 05:01:28:31 (Artemis Clock) | shot list provided by National Geographic, and that includes their morning routine, talking with their families, exercising, and just their overall thoughts about the mission. And I cannot wait to see that footage.
